periode_data,wilayah,kecamatan_clean,jumlah_balita_kurus,jumlah_balita_kurus_mendapat_pmt,jumlah_balita_0_59_bulan_yang_ditimbang,jumlah_balita_berat_badan_kurang_bb_per_u,jumlah_balita_pendek,jumlah_bayi_lahir,balita_gizi_kurang,bayi_lahir_hidup,bayi_lahir_mati,berat_bayi_lahir_rendah_bblr
2024,KAB. ADM. KEP. SERIBU,KEPULAUAN SERIBU SELATAN,49,49,1012,6,27,159,0,158,1,11
2024,KAB. ADM. KEP. SERIBU,KEPULAUAN SERIBU UTARA,37,36,1192,25,862,256,7,255,1,24
2024,KOTA ADM. JAKARTA BARAT,CENGKARENG,1914,1877,40723,0,206,11342,0,11342,0,10
2024,KOTA ADM. JAKARTA BARAT,GROGOL PETAMBURAN,147,147,13477,31,223,4185,2,4180,5,21
2024,KOTA ADM. JAKARTA BARAT,KALIDERES,217,217,27908,158,133,9619,2,9610,9,42
2024,KOTA ADM. JAKARTA BARAT,KEBON JERUK,252,226,23880,49,205,7415,25,7354,61,37
2024,KOTA ADM. JAKARTA BARAT,KEMBANGAN,104,104,20460,0,160,6395,0,6395,0,33
2024,KOTA ADM. JAKARTA BARAT,PALMERAH,233,230,14503,13,185,4954,4,4952,2,16
2024,KOTA ADM. JAKARTA BARAT,TAMAN SARI,65,65,6631,15,115,2204,6,2172,32,42
2024,KOTA ADM. JAKARTA BARAT,TAMBORA,80,80,16689,56,232,4745,93,4707,38,56
2024,KOTA ADM. JAKARTA PUSAT,CEMPAKA PUTIH,51,51,4009,10,81,1363,3,1352,11,31
2024,KOTA ADM. JAKARTA PUSAT,GAMBIR,142,142,3845,10,133,1112,6,1108,4,35
2024,KOTA ADM. JAKARTA PUSAT,JOHAR BARU,76,76,6371,10,81,2054,4,2052,2,26
2024,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,161,161,10903,18,307,3504,5,3504,0,24
2024,KOTA ADM. JAKARTA PUSAT,MENTENG,35,35,3503,7,79,1120,2,1118,2,20
2024,KOTA ADM. JAKARTA PUSAT,SAWAH BESAR,130,130,4785,0,98,1435,0,1430,5,54
2024,KOTA ADM. JAKARTA PUSAT,SENEN,209,209,4615,32,89,1448,17,1442,6,17
2024,KOTA ADM. JAKARTA PUSAT,TANAH ABANG,66,66,7182,0,112,2221,0,2221,0,15
2024,KOTA ADM. JAKARTA SELATAN,CILANDAK,19,19,12784,11,91,3792,6,3786,6,62
2024,KOTA ADM. JAKARTA SELATAN,JAGAKARSA,61,44,23072,4,270,6418,4,6414,4,296
2024,KOTA ADM. JAKARTA SELATAN,KEBAYORAN BARU,97,97,9015,58,155,2713,15,2711,2,69
2024,KOTA ADM. JAKARTA SELATAN,KEBAYORAN LAMA,45,45,17826,49,136,5574,11,5571,3,144
2024,KOTA ADM. JAKARTA SELATAN,MAMPANG PRAPATAN,43,43,10492,0,72,3070,0,3068,2,108
2024,KOTA ADM. JAKARTA SELATAN,PANCORAN,35,32,10846,59,247,3087,20,3085,2,95
2024,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,38,38,20532,568,336,5839,89,5838,1,192
2024,KOTA ADM. JAKARTA SELATAN,PESANGGRAHAN,13,11,15906,65,233,4519,27,4516,3,106
2024,KOTA ADM. JAKARTA SELATAN,SETIABUDI,36,16,5986,7,0,2292,1,2291,1,27
2024,KOTA ADM. JAKARTA SELATAN,TEBET,9,5,14413,3,74,3960,0,3955,5,47
2024,KOTA ADM. JAKARTA TIMUR,CAKUNG,108,99,10443,0,207,11948,0,11937,11,227
2024,KOTA ADM. JAKARTA TIMUR,CIPAYUNG,16,14,18444,18,109,5407,0,5407,0,16
2024,KOTA ADM. JAKARTA TIMUR,CIRACAS,47,47,20370,16,172,5614,8,5614,0,61
2024,KOTA ADM. JAKARTA TIMUR,DUREN SAWIT,39,39,14628,19,154,8425,1,8414,11,85
2024,KOTA ADM. JAKARTA TIMUR,JATINEGARA,63,63,19375,15,149,6082,5,6078,4,25
2024,KOTA ADM. JAKARTA TIMUR,KRAMAT JATI,27,27,27236,3,160,6236,2,6233,3,9
2024,KOTA ADM. JAKARTA TIMUR,MAKASAR,71,52,13721,40,180,4274,0,4272,2,29
2024,KOTA ADM. JAKARTA TIMUR,MATRAMAN,102,102,41687,0,101,3479,0,3479,0,12
2024,KOTA ADM. JAKARTA TIMUR,PASAR REBO,87,87,19400,7,166,4419,0,4412,7,26
2024,KOTA ADM. JAKARTA TIMUR,PULO GADUNG,28,28,17936,0,169,5820,9,5820,0,30
2024,KOTA ADM. JAKARTA UTARA,CILINCING,204,200,200118,6,170,9849,3,9112,737,75
2024,KOTA ADM. JAKARTA UTARA,KELAPA GADING,44,43,9632,0,358,3607,0,3516,91,20
2024,KOTA ADM. JAKARTA UTARA,KOJA,90,90,24034,846,108,7269,0,7196,73,61
2024,KOTA ADM. JAKARTA UTARA,PADEMANGAN,107,107,10483,0,0,3439,0,3439,0,21
2024,KOTA ADM. JAKARTA UTARA,PENJARINGAN,219,219,19983,189,214,5997,62,5997,0,52
2024,KOTA ADM. JAKARTA UTARA,TANJUNG PRIOK,187,187,28063,0,127,9111,1,9023,88,64
