periode_data,wilayah,kelurahan_clean,jumlah_balita_pendek
2024,KAB. ADM. KEP. SERIBU,PULAU HARAPAN,0
2024,KAB. ADM. KEP. SERIBU,PULAU KELAPA,811
2024,KAB. ADM. KEP. SERIBU,PULAU PANGGANG,51
2024,KAB. ADM. KEP. SERIBU,PULAU PARI,8
2024,KAB. ADM. KEP. SERIBU,PULAU TIDUNG,8
2024,KAB. ADM. KEP. SERIBU,PULAU UNTUNG JAWA,11
2024,KOTA ADM. JAKARTA BARAT,ANGKE,41
2024,KOTA ADM. JAKARTA BARAT,CENGKARENG BARAT,15
2024,KOTA ADM. JAKARTA BARAT,CENGKARENG TIMUR,10
2024,KOTA ADM. JAKARTA BARAT,CIKINI,28
2024,KOTA ADM. JAKARTA BARAT,DURI KEPA,35
2024,KOTA ADM. JAKARTA BARAT,DURI KOSAMBI,50
2024,KOTA ADM. JAKARTA BARAT,DURI SELATAN,85
2024,KOTA ADM. JAKARTA BARAT,DURI UTARA,26
2024,KOTA ADM. JAKARTA BARAT,GLODOK,0
2024,KOTA ADM. JAKARTA BARAT,GROGOL,70
2024,KOTA ADM. JAKARTA BARAT,JATI PULO,48
2024,KOTA ADM. JAKARTA BARAT,JELAMBAR,43
2024,KOTA ADM. JAKARTA BARAT,JELAMBAR BARU,6
2024,KOTA ADM. JAKARTA BARAT,JEMBATAN BESI,6
2024,KOTA ADM. JAKARTA BARAT,JEMBATAN LIMA,20
2024,KOTA ADM. JAKARTA BARAT,JOGLO,9
2024,KOTA ADM. JAKARTA BARAT,KALIANYAR,5
2024,KOTA ADM. JAKARTA BARAT,KALIDERES,33
2024,KOTA ADM. JAKARTA BARAT,KAMAL,37
2024,KOTA ADM. JAKARTA BARAT,KAPUK,30
2024,KOTA ADM. JAKARTA BARAT,KEAGUNGAN,9
2024,KOTA ADM. JAKARTA BARAT,KEBON JERUK,4
2024,KOTA ADM. JAKARTA BARAT,KEDAUNG KALI ANGKE,4
2024,KOTA ADM. JAKARTA BARAT,KEDOYA SELATAN,5
2024,KOTA ADM. JAKARTA BARAT,KEDOYA UTARA,0
2024,KOTA ADM. JAKARTA BARAT,KELAPA DUA,125
2024,KOTA ADM. JAKARTA BARAT,KEMANGGISAN,92
2024,KOTA ADM. JAKARTA BARAT,KEMBANGAN SELATAN,35
2024,KOTA ADM. JAKARTA BARAT,KEMBANGAN UTARA,11
2024,KOTA ADM. JAKARTA BARAT,KOTA BAMBU SELATAN,15
2024,KOTA ADM. JAKARTA BARAT,KOTA BAMBU UTARA,9
2024,KOTA ADM. JAKARTA BARAT,KRENDANG,19
2024,KOTA ADM. JAKARTA BARAT,KRUKUT,11
2024,KOTA ADM. JAKARTA BARAT,MANGGA BESAR,29
2024,KOTA ADM. JAKARTA BARAT,MAPHAR,7
2024,KOTA ADM. JAKARTA BARAT,MERUYA SELATAN,95
2024,KOTA ADM. JAKARTA BARAT,MERUYA UTARA,0
2024,KOTA ADM. JAKARTA BARAT,PALMERAH,4
2024,KOTA ADM. JAKARTA BARAT,PEGADUNGAN,7
2024,KOTA ADM. JAKARTA BARAT,PEKOJAN,11
2024,KOTA ADM. JAKARTA BARAT,PINANGSIA,48
2024,KOTA ADM. JAKARTA BARAT,RAWA BUAYA,97
2024,KOTA ADM. JAKARTA BARAT,ROA MALAKA,11
2024,KOTA ADM. JAKARTA BARAT,SEMANAN,39
2024,KOTA ADM. JAKARTA BARAT,SLIPI,17
2024,KOTA ADM. JAKARTA BARAT,SRENGSENG,10
2024,KOTA ADM. JAKARTA BARAT,SUKABUMI SELATAN,7
2024,KOTA ADM. JAKARTA BARAT,SUKABUMI UTARA,29
2024,KOTA ADM. JAKARTA BARAT,TAMAN SARI,11
2024,KOTA ADM. JAKARTA BARAT,TAMBORA,8
2024,KOTA ADM. JAKARTA BARAT,TANAH SEREAL,0
2024,KOTA ADM. JAKARTA BARAT,TANGKI,0
2024,KOTA ADM. JAKARTA BARAT,TANJUNG DUREN SELATAN,4
2024,KOTA ADM. JAKARTA BARAT,TANJUNG DUREN UTARA,20
2024,KOTA ADM. JAKARTA BARAT,TEGAL ALUR,17
2024,KOTA ADM. JAKARTA BARAT,TOMANG,58
2024,KOTA ADM. JAKARTA BARAT,WIJAYA KESUMA,22
2024,KOTA ADM. JAKARTA PUSAT,BENDUNGAN HILIR,1
2024,KOTA ADM. JAKARTA PUSAT,BUNGUR,17
2024,KOTA ADM. JAKARTA PUSAT,CEMPAKA BARU,31
2024,KOTA ADM. JAKARTA PUSAT,CEMPAKA PUTIH BARAT,37
2024,KOTA ADM. JAKARTA PUSAT,CEMPAKA PUTIH TIMUR,30
2024,KOTA ADM. JAKARTA PUSAT,CIDENG,16
2024,KOTA ADM. JAKARTA PUSAT,DURI PULO,60
2024,KOTA ADM. JAKARTA PUSAT,GALUR,34
2024,KOTA ADM. JAKARTA PUSAT,GAMBIR,44
2024,KOTA ADM. JAKARTA PUSAT,GELORA,17
2024,KOTA ADM. JAKARTA PUSAT,GONDANGDIA,30
2024,KOTA ADM. JAKARTA PUSAT,GUNUNG SAHARI SELATAN,25
2024,KOTA ADM. JAKARTA PUSAT,GUNUNG SAHARI UTARA,14
2024,KOTA ADM. JAKARTA PUSAT,HARAPAN MULYA,44
2024,KOTA ADM. JAKARTA PUSAT,JOHAR BARU,3
2024,KOTA ADM. JAKARTA PUSAT,KAMPUNG BALI,45
2024,KOTA ADM. JAKARTA PUSAT,KAMPUNG RAWA,39
2024,KOTA ADM. JAKARTA PUSAT,KARANG ANYAR,16
2024,KOTA ADM. JAKARTA PUSAT,KARET TENGSIN,11
2024,KOTA ADM. JAKARTA PUSAT,KARTINI,15
2024,KOTA ADM. JAKARTA PUSAT,KEBON KACANG,12
2024,KOTA ADM. JAKARTA PUSAT,KEBON KELAPA,0
2024,KOTA ADM. JAKARTA PUSAT,KEBON KOSONG,5
2024,KOTA ADM. JAKARTA PUSAT,KEBON MELATI,2
2024,KOTA ADM. JAKARTA PUSAT,KEBON SIRIH,6
2024,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,130
2024,KOTA ADM. JAKARTA PUSAT,KENARI,28
2024,KOTA ADM. JAKARTA PUSAT,KRAMAT,7
2024,KOTA ADM. JAKARTA PUSAT,KWITANG,2
2024,KOTA ADM. JAKARTA PUSAT,MANGGA DUA SELATAN,20
2024,KOTA ADM. JAKARTA PUSAT,MENTENG,5
2024,KOTA ADM. JAKARTA PUSAT,PASAR BARU,33
2024,KOTA ADM. JAKARTA PUSAT,PASEBAN,26
2024,KOTA ADM. JAKARTA PUSAT,PEGANGSAAN,10
2024,KOTA ADM. JAKARTA PUSAT,PETAMBURAN,24
2024,KOTA ADM. JAKARTA PUSAT,PETOJO SELATAN,3
2024,KOTA ADM. JAKARTA PUSAT,PETOJO UTARA,10
2024,KOTA ADM. JAKARTA PUSAT,RAWASARI,14
2024,KOTA ADM. JAKARTA PUSAT,SENEN,9
2024,KOTA ADM. JAKARTA PUSAT,SERDANG,8
2024,KOTA ADM. JAKARTA PUSAT,SUMUR BATU,58
2024,KOTA ADM. JAKARTA PUSAT,TANAH TINGGI,5
2024,KOTA ADM. JAKARTA PUSAT,UTAN PANJANG,6
2024,KOTA ADM. JAKARTA SELATAN,BANGKA,14
2024,KOTA ADM. JAKARTA SELATAN,BINTARO,12
2024,KOTA ADM. JAKARTA SELATAN,BUKIT DURI,11
2024,KOTA ADM. JAKARTA SELATAN,CIGANJUR,55
2024,KOTA ADM. JAKARTA SELATAN,CIKOKO,37
2024,KOTA ADM. JAKARTA SELATAN,CILANDAK BARAT,20
2024,KOTA ADM. JAKARTA SELATAN,CILANDAK TIMUR,48
2024,KOTA ADM. JAKARTA SELATAN,CIPEDAK,47
2024,KOTA ADM. JAKARTA SELATAN,CIPETE SELATAN,3
2024,KOTA ADM. JAKARTA SELATAN,CIPETE UTARA,13
2024,KOTA ADM. JAKARTA SELATAN,CIPULIR,7
2024,KOTA ADM. JAKARTA SELATAN,DUREN TIGA,82
2024,KOTA ADM. JAKARTA SELATAN,GANDARIA SELATAN,56
2024,KOTA ADM. JAKARTA SELATAN,GANDARIA UTARA,27
2024,KOTA ADM. JAKARTA SELATAN,GROGOL SELATAN,88
2024,KOTA ADM. JAKARTA SELATAN,GROGOL UTARA,27
2024,KOTA ADM. JAKARTA SELATAN,GUNTUR,0
2024,KOTA ADM. JAKARTA SELATAN,GUNUNG,33
2024,KOTA ADM. JAKARTA SELATAN,JAGAKARSA,71
2024,KOTA ADM. JAKARTA SELATAN,JATI PADANG,70
2024,KOTA ADM. JAKARTA SELATAN,KALIBATA,98
2024,KOTA ADM. JAKARTA SELATAN,KARET,19
2024,KOTA ADM. JAKARTA SELATAN,KARET KUNINGAN,10
2024,KOTA ADM. JAKARTA SELATAN,KARET SEMANGGI,19
2024,KOTA ADM. JAKARTA SELATAN,KEBAGUSAN,5
2024,KOTA ADM. JAKARTA SELATAN,KEBAYORAN LAMA SELATAN,3
2024,KOTA ADM. JAKARTA SELATAN,KEBAYORAN LAMA UTARA,2
2024,KOTA ADM. JAKARTA SELATAN,KEBON BARU,5
2024,KOTA ADM. JAKARTA SELATAN,KRAMAT PELA,23
2024,KOTA ADM. JAKARTA SELATAN,KUNINGAN BARAT,4
2024,KOTA ADM. JAKARTA SELATAN,KUNINGAN TIMUR,0
2024,KOTA ADM. JAKARTA SELATAN,LEBAK BULUS,7
2024,KOTA ADM. JAKARTA SELATAN,LENTENG AGUNG,7
2024,KOTA ADM. JAKARTA SELATAN,MAMPANG PRAPATAN,25
2024,KOTA ADM. JAKARTA SELATAN,MANGGARAI,36
2024,KOTA ADM. JAKARTA SELATAN,MANGGARAI SELATAN,5
2024,KOTA ADM. JAKARTA SELATAN,MELAWAI,5
2024,KOTA ADM. JAKARTA SELATAN,MENTENG ATAS,3
2024,KOTA ADM. JAKARTA SELATAN,MENTENG DALAM,2
2024,KOTA ADM. JAKARTA SELATAN,PANCORAN,14
2024,KOTA ADM. JAKARTA SELATAN,PASAR MANGGIS,28
2024,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,98
2024,KOTA ADM. JAKARTA SELATAN,PEJATEN BARAT,14
2024,KOTA ADM. JAKARTA SELATAN,PEJATEN TIMUR,80
2024,KOTA ADM. JAKARTA SELATAN,PELA MAMPANG,20
2024,KOTA ADM. JAKARTA SELATAN,PENGADEGAN,11
2024,KOTA ADM. JAKARTA SELATAN,PESANGGRAHAN,18
2024,KOTA ADM. JAKARTA SELATAN,PETOGOGAN,10
2024,KOTA ADM. JAKARTA SELATAN,PETUKANGAN SELATAN,18
2024,KOTA ADM. JAKARTA SELATAN,PETUKANGAN UTARA,180
2024,KOTA ADM. JAKARTA SELATAN,PONDOK LABU,5
2024,KOTA ADM. JAKARTA SELATAN,PONDOK PINANG,9
2024,KOTA ADM. JAKARTA SELATAN,PULO,13
2024,KOTA ADM. JAKARTA SELATAN,RAGUNAN,21
2024,KOTA ADM. JAKARTA SELATAN,RAWA BARAT,14
2024,KOTA ADM. JAKARTA SELATAN,RAWAJATI,5
2024,KOTA ADM. JAKARTA SELATAN,SELONG,8
2024,KOTA ADM. JAKARTA SELATAN,SENAYAN,9
2024,KOTA ADM. JAKARTA SELATAN,SETIABUDI,108
2024,KOTA ADM. JAKARTA SELATAN,SRENGSENG SAWAH,22
2024,KOTA ADM. JAKARTA SELATAN,TANJUNG BARAT,68
2024,KOTA ADM. JAKARTA SELATAN,TEBET BARAT,5
2024,KOTA ADM. JAKARTA SELATAN,TEBET TIMUR,10
2024,KOTA ADM. JAKARTA SELATAN,TEGAL PARANG,9
2024,KOTA ADM. JAKARTA SELATAN,ULUJAMI,5
2024,KOTA ADM. JAKARTA TIMUR,BALEKAMBANG,37
2024,KOTA ADM. JAKARTA TIMUR,BALIMESTER,12
2024,KOTA ADM. JAKARTA TIMUR,BAMBU APUS,17
2024,KOTA ADM. JAKARTA TIMUR,BARU,14
2024,KOTA ADM. JAKARTA TIMUR,BATU AMPAR,4
2024,KOTA ADM. JAKARTA TIMUR,BIDARA CINA,7
